Id Personne;Id Famille;QF;Type repas;Nombre;id gale ou non ;type de repas simplifi par tarif identique 
2057;3290;999999;Repas Standard;134;;Repas Standard
2058;3291;751;Repas Halal;129;;Repas Standard
2059;1734;657;Repas Standard;136;;Repas Standard
2060;3292;1998;Repas Standard;132;;Repas Standard
2061;542;627;Repas Standard;134;;Repas Standard
2062;3293;619;Repas Végétarien;7;;Repas vgtarien
2063;3294;361;Repas Halal;136;;Repas Standard
2064;3294;361;Repas Halal;136;;Repas Standard
2065;3295;760;Repas Halal;80;;Repas Standard
2066;1339;1452;Repas Standard;47;;Repas Standard
2067;3296;876;Repas Standard;136;;Repas Standard
2068;3297;1025;Repas Standard;136;;Repas Standard
2069;1643;1133;Repas Standard;130;;Repas Standard
2070;3298;1605;Repas Standard;34;;Repas Standard
2071;881;989;Repas Standard;67;;Repas Standard
2072;3300;1571;Repas Standard;17;;Repas Standard
2073;3301;1916;Repas Standard;77;;Repas Standard
2074;705;841;Repas Halal;92;;Repas Standard
2075;3302;459;Repas Standard;129;;Repas Standard
2076;3303;391;Repas Standard;116;;Repas Standard
2077;3304;7117;Repas Standard;129;;Repas Standard
2078;3305;436;Repas Végétarien;32;;Repas vgtarien
2079;2245;1521;Repas Standard;9;;Repas Standard
2080;668;1446;Repas Standard;5;;Repas Standard
2081;662;982;Repas Standard;128;;Repas Standard
2082;1089;852;Repas Halal;2;;Repas Standard
2083;3306;672;Repas Standard;135;;Repas Standard
2084;2558;1428;Repas Halal;13;oui;Repas Standard
2084;2558;1428;Repas Standard;3;;Repas Standard
2085;2006;438;Repas Halal;4;;Repas Standard
2086;3307;2745;Repas Standard;62;;Repas Standard
2087;3308;1522;Repas Halal;131;;Repas Standard
2088;3309;443;Repas Halal;10;oui;Repas Standard
2088;3309;667;Repas Halal;8;;Repas Standard
2089;2034;2130;Repas Standard;136;;Repas Standard
2090;3311;577;Repas Standard;130;oui;Repas Standard
2090;3311;999999;Repas Standard;2;;Repas Standard
2091;3310;2119;Repas Sans Porc;131;;Repas Standard
2092;3312;1193;Repas Standard;59;;Repas Standard
2093;3313;1766;Repas Standard;49;;Repas Standard
2094;3314;724;Repas Halal;126;;Repas Standard
2095;1321;970;Repas Halal;55;;Repas Standard
2096;652;2022;Repas Végétarien;1;;Repas vgtarien
2097;3315;626;Repas Halal;2;;Repas Standard
2098;2310;1819;Panier;10;oui;Panier
2098;2310;1819;Repas Standard;125;;Repas Standard
2099;915;863;Repas Végétarien;124;;Repas vgtarien
2100;3317;323;Repas Standard;115;;Repas Standard
